date,peak,location,elevation_ft
2026-09-20,Loowit (Mount Saint Helens),USA-WA,8325
2026-09-13,Mount Hoffmann,USA-CA,10853
2026-09-12,Mount Dana,USA-CA,13060
2026-09-06,Mammoth Mountain,USA-CA,11058
2026-09-05,Gaylor Peak,USA-CA,11028
2026-08-19,Pikers Peak,USA-WA,11657
2026-08-19,Pahto (Mount Adams),USA-WA,12280
2026-08-16,Mount Shasta,USA-CA,14161
2026-08-08,Duane Bliss Peak,USA-CA,8661
2026-08-08,South Camp Peak,USA-CA,8868
2026-08-08,Genoa Peak,USA-CA,9152
2026-08-01,Granite Chief,USA-CA,9010
2026-07-26,Maggies Peaks - North Summit,USA-CA,8496
2026-07-26,Maggies Peaks - South Summit,USA-CA,8665
2026-07-25,Rubicon Peak,USA-CA,9183
2026-07-11,Anderson Peak,USA-CA,8690
2026-07-11,Donner Peak,USA-CA,8018
2026-07-11,Mount Judah,USA-CA,8244
2026-07-11,Mount Lincoln,USA-CA,8381
2026-07-11,Tinker Knob,USA-CA,8953
2026-07-04,Andesite Peak,USA-CA,8218
2026-07-04,Basin Peak,USA-CA,9021
2026-07-04,Castle Peak,USA-CA,9109
2026-06-28,Mount Tallac,USA-CA,9737
2026-06-21,Lassen Peak,USA-CA,10462
2025-10-04,Humphreys Peak,USA-AZ,12636
2021-04-18,Mailbox Peak,USA-WA,4840
2021-04-15,West Tiger Mountain #3,USA-WA,2522
2021-04-10,Mount Si,USA-WA,4192
2021-04-08,West Tiger Mountain #3,USA-WA,2522
2021-04-07,West Tiger Mountain #3,USA-WA,2522
2021-03-13,Mount Umunhum,USA-CA,3486
2021-03-06,Black Mountain,USA-CA,2816
2021-02-27,Black Mountain,USA-CA,2816
2021-02-06,North Peak,USA-CA,3555
2021-02-06,Mount Olympia,USA-CA,2946
2021-01-30,Eagle Peak,USA-CA,2391
2021-01-23,Mission Peak,USA-CA,2519
2021-01-16,Mount Diablo,USA-CA,3849
2021-01-10,Mission Peak,USA-CA,2519
2020-07-11,Lassen Peak,USA-CA,10462
2020-02-08,Mission Peak,USA-CA,2519
2019-08-23,Cathedral Rock,USA-WA,6722
2019-08-03,Del Campo Peak,USA-WA,6615
2019-07-28,Argonaut Peak,USA-WA,8459
2019-07-14,Mount Hinman,USA-WA,7498
2019-06-30,Tahoma (Mount Rainier),USA-WA,14406
2019-06-18,The Tooth,USA-WA,5606
2019-06-15,Mount Garibaldi,Canada-BC,8776
2019-05-25,Unicorn Peak,USA-WA,6940
2019-05-12,Dragontail Peak,USA-WA,8841
2019-03-23,Mount Si,USA-WA,4192
2019-03-10,West Tiger Mountain #3,USA-WA,2522
2019-03-02,West Tiger Mountain #3,USA-WA,2522
2019-02-02,Mount Si,USA-WA,4192
2019-01-12,Mailbox Peak,USA-WA,4840
2018-12-30,West Tiger Mountain #3,USA-WA,2522
2018-12-23,Mount Si,USA-WA,4192
2018-11-18,Mailbox Peak,USA-WA,4840
2018-11-11,Mount Townsend,USA-WA,6282
2018-08-25,Mount Pilchuck,USA-WA,5341
2018-07-29,Dickerman Mountain,USA-WA,5726
2018-07-15,West Tiger Mountain #3,USA-WA,2522
2018-07-08,Granite Mountain,USA-WA,5632
2018-07-01,Mount Shasta,USA-CA,14161
2018-06-24,Mount Baker,USA-WA,10779
2018-06-16,Mount Ellinor,USA-WA,5944
2018-06-16,Mount Si,USA-WA,4192
2018-06-09,Colchuck Peak,USA-WA,8711
2018-05-15,Mount Si,USA-WA,4192
2018-05-05,Bandera Mountain,USA-WA,5249
2018-05-02,Mount Si,USA-WA,4192
2018-04-21,Loowit (Mount Saint Helens),USA-WA,8325
2018-04-14,Mount Si,USA-WA,4192
2018-04-07,Mailbox Peak,USA-WA,4840
2018-03-31,Mount Teneriffe,USA-WA,4791
2018-03-25,Mount Si,USA-WA,4192
2018-03-17,Mount Si,USA-WA,4192
2018-03-03,West Tiger Mountain #3,USA-WA,2522
2018-02-24,Mount Si,USA-WA,4192
2018-02-17,West Tiger Mountain #3,USA-WA,2522
